x_mean,x_std,x_sum,x_median,y_mean,y_std,y_sum,y_median,z_mean,z_std,z_sum,z_median,Label
-361.0743073047859,7038.569111561621,-286693.0,-416.0,-951.1599496221662,4888.128275081625,-755221.0,-891.0,6.464735516372796,4849.7109766214335,5133.0,404.5,1
-319.2833753148615,8401.627558144686,-253511.0,-722.0,-1051.9899244332494,5531.588963301119,-835280.0,-874.0,-15.07934508816121,5274.67024458939,-11973.0,658.5,1
-101.71788413098237,8923.338726268048,-80764.0,-497.0,-689.6095717884131,5375.7583502058,-547550.0,-238.0,19.622166246851386,5752.302275714065,15580.0,621.0,1
-153.47481108312343,9451.561515269226,-121859.0,-275.0,-443.72670025188916,5296.305809034925,-352319.0,138.0,3.4508816120906802,6405.262946444514,2740.0,985.0,1
-171.99748110831234,9747.005664689243,-136566.0,-275.0,-360.7178841309824,5315.237302306557,-286410.0,325.0,-22.34382871536524,6837.0939894703,-17741.0,727.5,1
-266.96221662468514,10123.662219150157,-211968.0,-724.5,-322.26826196473553,5242.770787062401,-255881.0,300.0,10.1360201511335,7330.029375781739,8048.0,885.5,1
-351.1750629722922,10044.624568501882,-278833.0,283.5,-332.17254408060455,5184.96268984005,-263745.0,265.0,-74.18513853904282,7559.185522939639,-58903.0,617.5,1
-350.83123425692696,10190.302499472271,-278560.0,-25.5,-289.79093198992445,5132.7828312775555,-230094.0,387.0,-16.044080604534006,7689.2707244719195,-12739.0,753.0,1
-341.6586901763224,10081.32270568814,-271277.0,358.0,-346.04534005037783,5116.107149104629,-274760.0,327.0,-38.87531486146096,7819.422564950123,-30867.0,176.0,1
-352.6410579345088,9828.20723766849,-279997.0,282.5,-313.2002518891688,5120.82659689924,-248681.0,261.0,-37.3727959697733,7758.003260161821,-29674.0,93.0,1
-320.0050377833753,9672.998897555284,-254084.0,213.0,-432.6057934508816,4980.5614500421625,-343489.0,117.5,-30.79596977329975,7648.944811545709,-24452.0,-132.5,1
-414.3513853904282,8512.79522607669,-328995.0,-905.0,-1009.9760705289673,3373.7647903659367,-801921.0,-737.5,-21.68765743073048,8090.915488577464,-17220.0,853.0,1
-656.4420654911838,7922.263899677601,-521215.0,-876.0,-1049.6712846347607,3313.009107410091,-833439.0,-906.0,-32.61712846347607,7890.748319144038,-25898.0,1594.5,1
-723.4118387909319,7605.6142892393555,-574389.0,-1008.0,-1066.492443324937,3435.338580950763,-846795.0,-915.0,-66.02518891687657,7647.9469715451405,-52424.0,1919.5,1
-260.9181360201511,8044.128781654178,-207169.0,-830.0,-1065.948362720403,3195.7094575071424,-846363.0,-1100.5,-46.65617128463476,7562.960271748681,-37045.0,2211.5,1
-190.55541561712846,8053.937647783098,-151301.0,-856.5,-1017.1272040302267,3377.4633146126234,-807599.0,-1162.0,-71.35516372795969,7334.452571899103,-56656.0,2124.5,1
-208.1360201511335,7731.3347098088025,-165260.0,-1224.5,-1044.6725440806044,3937.2164700434832,-829470.0,-1114.0,-77.47607052896726,7202.703064308001,-61516.0,1838.0,1
-291.23173803526447,7670.356790628203,-231238.0,-1112.0,-998.4785894206549,4106.584519869868,-792792.0,-930.5,-28.955919395465994,7654.932112450505,-22991.0,1583.0,1
-372.9949622166247,7277.442108969821,-296158.0,-1705.5,-959.9080604534005,3906.398583662046,-762167.0,-1001.0,-70.91561712846348,7776.946981935228,-56307.0,1281.0,1
-354.94458438287154,7282.883414673735,-281826.0,-1799.5,-1012.4118387909319,3621.441896920708,-803855.0,-841.0,-35.07808564231738,7921.969289507979,-27852.0,1292.5,1
-366.72166246851384,7152.855999541252,-291177.0,-1963.0,-1007.9672544080604,3503.2375012406933,-800326.0,-1091.5,-8.57808564231738,7954.28622497808,-6811.0,1359.0,1
-416.4836272040302,7003.665558393687,-330688.0,-2105.5,-1002.1083123425693,3382.0520559732536,-795674.0,-959.0,-32.613350125944585,7890.830280770359,-25895.0,1459.0,1
-407.17380352644835,6791.843475688586,-323296.0,-2063.0,-1041.3627204030226,3199.5073082912286,-826842.0,-853.5,-21.448362720403022,7995.8739893111015,-17030.0,861.5,1
-459.26070528967256,6392.280062289709,-364653.0,-1441.0,-1061.2455919395466,2979.9721045923,-842629.0,-587.0,-0.20906801007556675,8373.745622746728,-166.0,210.5,1
-402.02015113350126,6008.349609804787,-319204.0,-893.0,-1005.0856423173803,2710.592862698004,-798038.0,-1050.0,-76.544080604534,8232.358897980983,-60776.0,-316.0,1
-146.04156171284635,5557.0093830462565,-115957.0,-288.5,-990.6712846347607,2225.1023965004606,-786593.0,-1263.5,4.283375314861461,7311.958486927632,3401.0,-576.5,1
-73.72921914357683,4016.209096481523,-58541.0,136.0,-1001.8224181360201,1477.667319165526,-795447.0,-1269.0,8.76574307304786,4967.439572071243,6960.0,-741.0,1
-42.03652392947103,2148.8933724782546,-33377.0,-401.0,-992.4345088161209,1663.731292831601,-787993.0,-1265.0,7.0566750629722925,2056.295465681212,5603.0,-129.0,1
-51.64735516372796,1537.8286075842366,-41008.0,-93.0,-994.3790931989925,1626.2458461739159,-789537.0,-1393.0,1.9256926952141058,2488.4661690835237,1529.0,-35.5,1
-37.76448362720403,3445.240761597081,-29985.0,532.5,-1011.624685138539,2358.4159249059853,-803230.0,-1187.0,8.916876574307304,3623.3198554534065,7080.0,-470.0,1
-161.47607052896726,7439.90086715178,-128212.0,-544.5,-695.0403022670025,4608.069597540379,-551862.0,-425.0,-29.370277078085643,5650.601430916008,-23320.0,-114.0,1
-232.75440806045341,8905.97350147447,-184807.0,-82.0,-896.1901763224181,4627.661644169466,-711575.0,-1042.5,-38.3198992443325,6678.905283733741,-30426.0,-1099.0,1
-25.897984886649873,8868.34194343257,-20563.0,-350.0,-1053.5831234256927,4095.1234790871463,-836545.0,-1555.0,-51.112090680100756,6846.561626259851,-40583.0,-509.0,1
101.7455919395466,8387.980334175743,80786.0,-565.5,-970.7027707808564,3574.3078938964704,-770738.0,-1661.0,-7.2707808564231735,6644.770876295451,-5773.0,314.0,1
98.39168765743074,7985.872454465927,78123.0,-218.0,-997.1876574307305,3776.510678752639,-791767.0,-1539.0,-28.749370277078086,6385.061011056303,-22827.0,383.0,1
