,x_mean,x_std,x_sum,x_median,y_mean,y_std,y_sum,y_median,z_mean,z_std,z_sum,z_median,Label
0,-367.4327044025157,7040.972979294179,-292109.0,-419.0,-957.6603773584906,4902.5133735884865,-761340.0,-892.0,-1.129559748427673,4877.411263087095,-898.0,398.0,1
1,-305.8566037735849,8393.963221644075,-243156.0,-722.0,-1027.4654088050315,5524.563404544259,-816835.0,-802.0,4.588679245283019,5248.65772147524,3648.0,726.0,1
2,-108.91823899371069,8941.009157965791,-86590.0,-497.0,-694.4238993710692,5377.363965673827,-552067.0,-238.0,22.91698113207547,5767.12192304056,18219.0,618.0,1
3,-161.14213836477987,9433.907378006154,-128108.0,-275.0,-454.6767295597484,5294.446046513763,-361468.0,138.0,-14.045283018867925,6396.135554827637,-11166.0,983.0,1
4,-158.78238993710693,9743.77145930029,-126232.0,-275.0,-356.5383647798742,5327.766885797023,-283448.0,325.0,-8.032704402515723,6851.364319735904,-6386.0,749.0,1
5,-285.57861635220127,10151.852202348748,-227035.0,-505.0,-348.41383647798745,5226.433953961647,-276989.0,224.0,-25.42012578616352,7320.814878188271,-20209.0,765.0,1
6,-350.7823899371069,10039.013105012435,-278872.0,171.0,-287.674213836478,5176.743198123859,-228701.0,314.0,-34.235220125786164,7564.142106166728,-27217.0,751.0,1
7,-350.18993710691825,10172.184164820359,-278401.0,-50.0,-301.45408805031445,5149.414958463841,-239656.0,392.0,-24.950943396226414,7691.442990815555,-19836.0,800.0,1
8,-340.7081761006289,10087.124618087519,-270863.0,322.0,-367.7559748427673,5099.138139832269,-292366.0,325.0,-54.01509433962264,7824.4939374764435,-42942.0,109.0,1
9,-321.262893081761,9822.10208216206,-255404.0,396.0,-315.4125786163522,5140.224630571927,-250753.0,267.0,-27.534591194968552,7751.253828679789,-21890.0,97.0,1
10,-333.5157232704403,9657.09721097695,-265145.0,171.0,-421.0767295597484,4955.117004355271,-334756.0,138.0,-11.981132075471699,7642.983491627857,-9525.0,-119.0,1
11,-407.4654088050315,8533.157404467533,-323935.0,-938.0,-1028.6327044025156,3366.085594972627,-817763.0,-780.0,-35.25283018867925,8089.773503333745,-28026.0,853.0,1
12,-672.7899371069183,7894.7092357334595,-534868.0,-899.0,-1041.4125786163522,3306.184382658319,-827923.0,-845.0,-34.944654088050314,7885.207881819112,-27781.0,1622.0,1
13,-719.6855345911949,7586.580487972376,-572150.0,-935.0,-1054.0251572327045,3442.620871202983,-837950.0,-905.0,-44.68301886792453,7648.168155918776,-35523.0,1950.0,1
14,-298.8566037735849,8051.971959892043,-237591.0,-1104.0,-1060.3207547169811,3177.2421193777545,-842955.0,-1120.0,-85.08427672955975,7573.32189236215,-67642.0,2194.0,1
