global_sample_id,tool_state,label,source_file,local_stroke_id,raw_start,raw_end,raw_length,pca_score,isolation_forest_score,autoencoder_score
wear_000337,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,337,1915446,1921413,5967,847.6589334926791,0.7439756429216393,3704.909436301397
wear_000307,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,307,1744981,1750946,5965,457.6466008134718,0.7437764312910726,2024.96173104966
wear_000309,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,309,1756913,1762878,5965,617.045229461045,0.7429254144038481,2719.7893023301544
wear_000338,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,338,1921413,1927377,5964,342.54242240544266,0.7414290269438698,1517.0754793125107
wear_000310,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,310,1762878,1768843,5965,348.6814860628309,0.7312548978076021,1556.104904291571
wear_000138,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,138,786809,792274,5465,468.6719610153547,0.7307642976042779,2100.634557829943
wear_000090,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,90,512462,518427,5965,608.8123173356054,0.7297818959635807,2718.0769463618094
wear_000091,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,91,518427,524393,5966,642.9861502749206,0.7225617449129476,2847.7496692971617
wear_000251,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,251,1427912,1433878,5966,679.3932524928213,0.7217277816643496,2998.784891245898
wear_000146,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,146,830532,836498,5966,647.4904574844785,0.7073362513090079,2900.1567666270385
wear_000250,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,250,1421948,1427912,5964,634.8417583959892,0.7037051301458496,2826.9823977343594
new_000053,new,0,24-11-06__18-50-56_SI_neuer_Stempel_500.tdms,53,299967,305932,5965,0.14244683444378334,0.703554929087277,0.10187987022542096
new_000086,new,0,24-11-06__18-50-56_SI_neuer_Stempel_500.tdms,86,488813,494277,5464,0.15563737329974414,0.6967211279811827,0.08910179398732058
wear_000205,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,205,1166000,1171964,5964,641.6295246585338,0.6941645033764415,2898.0076630092935
new_000441,new,0,24-11-06__18-50-56_SI_neuer_Stempel_500.tdms,441,2505933,2511899,5966,0.25491361914827615,0.6933424603515045,0.09377818348657659
new_000352,new,0,24-11-06__18-50-56_SI_neuer_Stempel_500.tdms,352,1999033,2004997,5964,0.08509782906776774,0.6828068083770945,0.06508401698104341
wear_000139,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,139,792274,797740,5466,483.8277246992707,0.6811335964891153,2225.847574704307
wear_000311,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,311,1768843,1774810,5967,452.5582347952484,0.6752364344779369,2049.4862820271046
wear_000059,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,59,335530,341496,5966,327.87242906268074,0.66684001824158,1488.4186024881722
wear_000405,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,405,2302102,2307568,5466,920.497746519499,0.6664925181777552,4104.815287024274
wear_000234,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,234,1330499,1336465,5966,861.6517940616789,0.6650728877721499,3859.548326351061
wear_000191,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,191,1086982,1092948,5966,713.352765640649,0.6650179045622852,3175.1888618027797
wear_000177,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,177,1007464,1013430,5966,667.4197969901611,0.6633399038938433,2985.711455925136
wear_000357,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,357,2030258,2035723,5465,926.4598715945311,0.6555312926152496,4144.367750257721
wear_000093,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,93,530358,536324,5966,576.4245977281018,0.6539147183155023,2591.1020224519984
wear_000336,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,336,1909481,1915446,5965,715.8965189603728,0.6526742137561924,3204.2376929099464
wear_000404,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,404,2296636,2302102,5466,921.6197095110721,0.6455488272718656,4098.183730445131
wear_000176,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,176,1001498,1007464,5966,675.797985382849,0.6430894767754305,3041.9949476287725
wear_000123,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,123,701325,707291,5966,562.7557189455158,0.6367620573138371,2544.8942250206305
wear_000366,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,366,2080447,2086413,5966,1078.0639696615383,0.635948617374001,4777.406845952946
